query,cluster,intent,az_relevant,gap_type,search_volume,cpc,competition_level,keyword_difficulty,our_position,our_collection,our_url,competitor_position,competitor_domain,competitor_url,priority_score
personal injury firms,unknown,informational,False,pure_gap,201000,113.18000030517578,LOW,,,none,,26,lernerandrowe.com,https://lernerandrowe.com/,100500.0
accident lawyers near me,vehicle-crashes,commercial,False,head_commercial,368000,132.60000610351562,LOW,,,none,,61,lernerandrowe.com,https://lernerandrowe.com/nevada/henderson/,73600.0
attorneys personal injury near me,unknown,commercial,False,head_commercial,368000,132.60000610351562,LOW,,,none,,73,lernerandrowe.com,https://lernerandrowe.com/arizona/arrowhead/,73600.0
injury lawyer near me,meta,commercial,False,head_commercial,368000,132.60000610351562,LOW,,,none,,18,lernerandrowe.com,https://lernerandrowe.com/arizona/tucson/,73600.0
injury lawyers near me,meta,commercial,False,head_commercial,368000,132.60000610351562,LOW,,,none,,10,lernerandrowe.com,https://lernerandrowe.com/nevada/laughlin/,73600.0
personal injury attorney near me,unknown,commercial,False,head_commercial,368000,132.60000610351562,LOW,,,none,,55,lernerandrowe.com,https://lernerandrowe.com/nevada/henderson/,73600.0
personal injury firm near me,unknown,commercial,False,head_commercial,368000,132.60000610351562,LOW,,,none,,72,lernerandrowe.com,https://lernerandrowe.com/arizona/arrowhead/,73600.0
personal injury firms near me,unknown,commercial,False,head_commercial,368000,132.60000610351562,LOW,,,none,,11,lernerandrowe.com,https://lernerandrowe.com/nevada/henderson/,73600.0
personal injury law firms near me,meta,commercial,False,head_commercial,368000,132.60000610351562,LOW,,,none,,57,lernerandrowe.com,https://lernerandrowe.com/,73600.0
personal injury lawyer near me,meta,commercial,False,head_commercial,368000,132.60000610351562,LOW,,,none,,35,lernerandrowe.com,https://lernerandrowe.com/nevada/henderson/,73600.0
personal lawyer near me,meta,commercial,False,head_commercial,368000,132.60000610351562,LOW,,,none,,39,lernerandrowe.com,https://lernerandrowe.com/nevada/laughlin/,73600.0
pi attorney near me,unknown,commercial,False,head_commercial,368000,132.60000610351562,LOW,,,none,,51,lernerandrowe.com,https://lernerandrowe.com/arizona/tucson/,73600.0
pi lawyers near me,meta,commercial,False,head_commercial,368000,132.60000610351562,LOW,,,none,,40,lernerandrowe.com,https://lernerandrowe.com/arizona/tucson/,73600.0
accident lawyer auto,vehicle-crashes,commercial,False,head_commercial,201000,230.02000427246094,LOW,,,none,,61,lernerandrowe.com,https://lernerandrowe.com/,40200.0
attorney for car wrecks,vehicle-crashes,commercial,False,head_commercial,201000,230.02000427246094,LOW,,,none,,7,lernerandrowe.com,https://lernerandrowe.com/,40200.0
attorney injury personal,unknown,commercial,False,head_commercial,201000,113.18000030517578,LOW,,,none,,5,lernerandrowe.com,https://lernerandrowe.com/,40200.0
attorney personal injury attorney,unknown,commercial,False,head_commercial,201000,113.18000030517578,LOW,,,none,,7,lernerandrowe.com,https://lernerandrowe.com/,40200.0
attorneys for car wrecks,vehicle-crashes,commercial,False,head_commercial,201000,230.02000427246094,LOW,,,none,,46,lernerandrowe.com,https://lernerandrowe.com/new-mexico/car-accident-lawyers/,40200.0
auto accident lawyer attorney,vehicle-crashes,commercial,False,head_commercial,201000,230.02000427246094,LOW,,,none,,5,lernerandrowe.com,https://lernerandrowe.com/,40200.0
auto car accident lawyers,vehicle-crashes,commercial,False,head_commercial,201000,230.02000427246094,LOW,,,none,,8,lernerandrowe.com,https://lernerandrowe.com/,40200.0
car accident lawyer,vehicle-crashes,commercial,False,head_commercial,201000,230.02000427246094,LOW,,,none,,18,lernerandrowe.com,https://lernerandrowe.com/new-mexico/car-accident-lawyers/,40200.0
car accident lawyers,vehicle-crashes,commercial,False,head_commercial,201000,230.02000427246094,LOW,,,none,,47,lernerandrowe.com,https://lernerandrowe.com/nevada/reno/car-accidents-lawyer/,40200.0
car crash lawyers,vehicle-crashes,commercial,False,head_commercial,201000,230.02000427246094,LOW,,,none,,49,lernerandrowe.com,https://lernerandrowe.com/nevada/las-vegas/car-accident-lawyer/,40200.0
lawyer personal injuries,meta,commercial,False,head_commercial,201000,113.18000030517578,LOW,,,none,,8,lernerandrowe.com,https://lernerandrowe.com/,40200.0
personal injury attorneys lawyers,meta,commercial,False,head_commercial,201000,113.18000030517578,LOW,,,none,,9,lernerandrowe.com,https://lernerandrowe.com/,40200.0
personal-injury-lawyer,unknown,commercial,False,head_commercial,201000,113.18000030517578,LOW,,,none,,20,lernerandrowe.com,https://lernerandrowe.com/,40200.0
